time,temperature_2m_max,temperature_2m_min,precipitation_sum,city,relative_humidity_2m,cloud_cover_proxy,soil_moisture_0_to_10cm
2007-01-01,26.8,13.0,0.0,Gombe,18.48,0.21,0.2
2007-01-02,27.5,12.9,0.0,Gombe,20.51,0.2,0.2
2007-01-03,28.6,13.3,0.0,Gombe,20.38,0.2,0.19
2007-01-04,29.1,14.5,0.0,Gombe,19.18,0.22,0.19
2007-01-05,29.8,15.2,0.0,Gombe,17.5,0.24,0.19
2007-01-06,29.9,15.4,0.0,Gombe,18.89,0.18,0.19
2007-01-07,29.6,15.4,0.0,Gombe,17.23,0.21,0.18
2007-01-08,29.4,15.1,0.0,Gombe,14.97,0.21,0.18
2007-01-09,29.2,15.2,0.0,Gombe,18.09,0.22,0.18
2007-01-10,29.4,14.7,0.0,Gombe,19.1,0.24,0.18
2007-01-11,28.7,15.0,0.0,Gombe,21.16,0.24,0.17
2007-01-12,27.0,13.9,0.0,Gombe,19.26,0.21,0.17
2007-01-13,26.6,12.4,0.0,Gombe,21.85,0.19,0.17
2007-01-14,27.0,12.4,0.0,Gombe,22.18,0.21,0.17
2007-01-15,28.0,12.5,0.0,Gombe,19.82,0.24,0.17
2007-01-16,29.1,13.7,0.0,Gombe,21.98,0.22,0.17
2007-01-17,28.8,14.4,0.0,Gombe,20.29,0.22,0.17
2007-01-18,29.0,14.5,0.0,Gombe,20.36,0.22,0.17
2007-01-19,28.7,14.5,0.0,Gombe,22.14,0.2,0.17
2007-01-20,28.9,14.4,0.0,Gombe,20.76,0.19,0.17
2007-01-21,30.4,13.8,0.0,Gombe,18.79,0.21,0.16
2007-01-22,32.7,14.9,0.0,Gombe,17.99,0.24,0.16
2007-01-23,33.7,16.5,0.0,Gombe,18.51,0.22,0.16
2007-01-24,34.3,17.8,0.0,Gombe,18.89,0.23,0.16
2007-01-25,34.6,18.1,0.0,Gombe,17.68,0.24,0.15
2007-01-26,34.4,17.7,0.0,Gombe,17.47,0.24,0.15
2007-01-27,34.4,17.7,0.0,Gombe,13.83,0.24,0.15
2007-01-28,34.6,17.5,0.0,Gombe,13.28,0.24,0.14
2007-01-29,33.0,16.7,0.0,Gombe,9.47,0.23,0.14
2007-01-30,32.5,15.4,0.0,Gombe,9.31,0.19,0.14
2007-01-31,33.3,15.2,0.0,Gombe,12.57,0.23,0.14
2007-02-01,34.7,17.3,0.0,Gombe,14.23,0.24,0.14
2007-02-02,35.2,17.6,0.0,Gombe,14.66,0.24,0.14
2007-02-03,35.1,17.1,0.0,Gombe,13.67,0.24,0.13
2007-02-04,34.7,16.8,0.0,Gombe,15.08,0.24,0.13
2007-02-05,35.1,15.7,0.0,Gombe,16.56,0.23,0.13
2007-02-06,36.0,17.6,0.0,Gombe,14.28,0.23,0.13
2007-02-07,37.2,21.1,0.0,Gombe,13.09,0.22,0.13
2007-02-08,37.8,21.3,0.0,Gombe,13.72,0.23,0.13
2007-02-09,38.0,19.1,0.0,Gombe,18.83,0.22,0.14
2007-02-10,36.9,21.0,0.0,Gombe,15.08,0.22,0.14
2007-02-11,34.0,21.3,0.0,Gombe,13.73,0.24,0.14
2007-02-12,32.9,19.1,0.0,Gombe,11.89,0.23,0.13
2007-02-13,32.4,17.3,0.0,Gombe,12.45,0.2,0.13
2007-02-14,32.2,18.3,0.0,Gombe,12.84,0.2,0.13
2007-02-15,32.8,18.9,0.0,Gombe,12.11,0.22,0.13
2007-02-16,34.2,17.6,0.0,Gombe,11.92,0.22,0.13
2007-02-17,34.4,18.4,0.0,Gombe,11.02,0.23,0.12
2007-02-18,36.0,19.2,0.0,Gombe,10.81,0.24,0.12
2007-02-19,37.2,19.4,0.0,Gombe,11.68,0.24,0.12
2007-02-20,37.6,18.8,0.0,Gombe,13.98,0.25,0.12
2007-02-21,37.9,20.1,0.0,Gombe,15.24,0.24,0.12
2007-02-22,37.8,18.7,0.0,Gombe,28.91,0.25,0.12
2007-02-23,37.7,18.2,0.0,Gombe,19.88,0.22,0.12
2007-02-24,33.7,16.8,0.0,Gombe,12.76,0.24,0.12
2007-02-25,34.2,18.9,0.0,Gombe,14.23,0.21,0.12
2007-02-26,34.5,19.2,0.0,Gombe,14.72,0.24,0.12
2007-02-27,34.4,19.6,0.0,Gombe,14.77,0.24,0.12
2007-02-28,34.1,19.1,0.0,Gombe,13.3,0.22,0.11
2007-03-01,34.6,18.8,0.0,Gombe,12.0,0.23,0.11
2007-03-02,34.5,19.4,0.0,Gombe,12.19,0.22,0.11
2007-03-03,34.2,19.0,0.0,Gombe,12.05,0.22,0.11
2007-03-04,34.4,18.6,0.0,Gombe,12.16,0.23,0.11
2007-03-05,35.4,18.6,0.0,Gombe,11.0,0.24,0.11
2007-03-06,36.3,19.9,0.0,Gombe,11.68,0.24,0.11
2007-03-07,36.8,20.9,0.0,Gombe,10.62,0.21,0.11
2007-03-08,37.0,23.0,0.0,Gombe,9.92,0.21,0.11
2007-03-09,37.7,17.6,0.0,Gombe,12.96,0.22,0.11
2007-03-10,37.6,20.4,0.0,Gombe,32.85,0.22,0.11
2007-03-11,36.4,18.7,0.0,Gombe,10.62,0.21,0.11
2007-03-12,37.4,18.7,0.0,Gombe,10.78,0.22,0.11
2007-03-13,37.8,20.3,0.0,Gombe,11.51,0.23,0.11
2007-03-14,37.8,20.5,0.0,Gombe,12.08,0.22,0.1
2007-03-15,37.0,21.3,0.0,Gombe,13.65,0.21,0.1
2007-03-16,37.0,22.1,0.0,Gombe,14.4,0.22,0.1
2007-03-17,36.0,21.0,0.0,Gombe,12.06,0.2,0.1
2007-03-18,36.3,20.6,0.0,Gombe,8.85,0.21,0.1
2007-03-19,37.2,19.1,0.0,Gombe,8.56,0.22,0.1
2007-03-20,38.3,18.0,0.0,Gombe,8.23,0.23,0.1
2007-03-21,39.3,18.1,0.0,Gombe,8.95,0.23,0.1
2007-03-22,40.0,17.8,0.0,Gombe,10.4,0.24,0.1
2007-03-23,40.8,19.5,0.0,Gombe,9.69,0.25,0.1
2007-03-24,40.6,20.1,0.0,Gombe,9.42,0.23,0.1
2007-03-25,39.7,21.6,0.0,Gombe,13.15,0.23,0.1
2007-03-26,39.0,20.1,0.0,Gombe,15.29,0.23,0.1
2007-03-27,39.7,20.8,0.0,Gombe,38.22,0.24,0.11
2007-03-28,39.9,21.1,0.0,Gombe,13.63,0.23,0.12
2007-03-29,40.1,25.2,0.0,Gombe,20.54,0.23,0.12
2007-03-30,40.3,23.8,0.0,Gombe,41.65,0.24,0.19
2007-03-31,40.5,24.5,0.0,Gombe,35.02,0.25,0.27
2007-04-01,40.9,22.3,0.0,Gombe,28.53,0.22,0.24
2007-04-02,40.3,25.5,0.0,Gombe,38.43,0.21,0.22
2007-04-03,40.9,26.5,0.0,Gombe,46.19,0.21,0.21
2007-04-04,40.0,27.1,0.0,Gombe,47.27,0.2,0.2
2007-04-05,38.2,27.7,0.1,Gombe,50.66,0.22,0.19
2007-04-06,39.4,27.1,0.1,Gombe,46.78,0.25,0.2
2007-04-07,38.9,25.6,0.0,Gombe,47.61,0.23,0.23
2007-04-08,39.2,25.5,0.0,Gombe,41.92,0.22,0.24
2007-04-09,41.1,27.7,0.0,Gombe,46.86,0.22,0.23
2007-04-10,39.8,26.9,0.0,Gombe,52.33,0.23,0.23
2007-04-11,39.8,26.5,0.0,Gombe,38.0,0.19,0.23
2007-04-12,38.7,21.9,0.0,Gombe,14.13,0.24,0.21
2007-04-13,37.8,19.3,0.0,Gombe,13.73,0.22,0.19
2007-04-14,38.5,20.0,0.0,Gombe,12.36,0.22,0.18
2007-04-15,38.8,21.3,0.0,Gombe,15.1,0.24,0.17
2007-04-16,39.0,20.7,0.0,Gombe,44.46,0.25,0.16
2007-04-17,37.3,24.6,0.0,Gombe,49.85,0.24,0.16
2007-04-18,37.9,26.0,0.1,Gombe,48.29,0.23,0.16
2007-04-19,39.6,27.3,0.0,Gombe,40.48,0.23,0.16
2007-04-20,39.4,26.2,0.0,Gombe,41.96,0.22,0.16
2007-04-21,39.2,27.0,0.0,Gombe,43.56,0.22,0.19
2007-04-22,39.5,28.1,0.0,Gombe,47.57,0.24,0.22
2007-04-23,38.7,24.7,0.0,Gombe,53.82,0.25,0.25
2007-04-24,38.5,24.7,0.0,Gombe,54.04,0.23,0.29
2007-04-25,36.7,27.1,0.0,Gombe,55.39,0.21,0.34
2007-04-26,37.0,25.6,0.0,Gombe,63.73,0.23,0.38
2007-04-27,33.8,25.0,1.6,Gombe,55.16,0.23,0.37
2007-04-28,35.7,25.3,0.6,Gombe,53.85,0.23,0.38
2007-04-29,36.2,25.3,0.1,Gombe,54.78,0.21,0.38
2007-04-30,37.0,25.5,0.0,Gombe,55.43,0.2,0.36
2007-05-01,37.5,26.6,3.6,Gombe,63.79,0.23,0.45
2007-05-02,37.9,24.6,0.0,Gombe,61.97,0.21,0.43
2007-05-03,34.0,26.2,0.0,Gombe,60.85,0.23,0.43
2007-05-04,34.6,25.9,0.2,Gombe,74.52,0.22,0.47
2007-05-05,36.7,24.6,0.0,Gombe,63.45,0.23,0.42
2007-05-06,37.1,24.7,0.0,Gombe,68.62,0.21,0.44
2007-05-07,34.2,26.1,10.8,Gombe,65.16,0.22,0.45
2007-05-08,33.3,22.9,0.7,Gombe,61.5,0.22,0.43
2007-05-09,37.1,24.4,0.0,Gombe,51.83,0.22,0.4
2007-05-10,37.8,25.5,0.0,Gombe,49.92,0.23,0.4
2007-05-11,38.0,26.0,0.0,Gombe,43.85,0.23,0.37
2007-05-12,36.8,25.4,0.0,Gombe,62.25,0.21,0.38
2007-05-13,36.4,26.5,0.3,Gombe,67.38,0.23,0.44
2007-05-14,34.8,25.1,0.3,Gombe,67.44,0.2,0.43
2007-05-15,34.4,24.4,0.2,Gombe,62.96,0.22,0.41
2007-05-16,36.7,24.7,0.0,Gombe,56.17,0.2,0.38
2007-05-17,38.3,25.7,0.0,Gombe,51.89,0.21,0.38
2007-05-18,38.7,25.9,0.0,Gombe,56.52,0.2,0.37
2007-05-19,39.0,26.5,0.0,Gombe,58.35,0.22,0.38
2007-05-20,38.9,26.5,0.0,Gombe,58.67,0.22,0.38
2007-05-21,37.8,26.8,0.0,Gombe,58.49,0.22,0.37
2007-05-22,38.9,26.8,0.0,Gombe,50.51,0.22,0.35
2007-05-23,38.4,26.1,0.0,Gombe,53.03,0.22,0.34
2007-05-24,37.5,25.6,0.0,Gombe,57.54,0.2,0.33
2007-05-25,38.0,25.6,0.0,Gombe,52.87,0.21,0.32
2007-05-26,38.9,27.4,0.0,Gombe,41.59,0.22,0.3
2007-05-27,37.6,27.3,1.1,Gombe,44.22,0.21,0.27
2007-05-28,36.6,25.9,0.2,Gombe,58.25,0.22,0.27
2007-05-29,37.0,26.3,1.7,Gombe,55.98,0.22,0.28
2007-05-30,36.3,25.6,0.0,Gombe,53.08,0.22,0.27
2007-05-31,38.1,25.4,0.0,Gombe,54.69,0.22,0.3
2007-06-01,36.3,26.7,0.0,Gombe,67.29,0.22,0.45
2007-06-02,36.6,25.0,0.0,Gombe,67.65,0.21,0.45
2007-06-03,35.2,25.0,0.0,Gombe,77.89,0.21,0.51
2007-06-04,34.8,23.4,0.0,Gombe,76.17,0.21,0.47
2007-06-05,34.9,24.5,1.2,Gombe,73.65,0.21,0.49
2007-06-06,34.3,23.9,0.0,Gombe,70.93,0.19,0.47
2007-06-07,34.0,23.4,0.0,Gombe,69.05,0.22,0.5
2007-06-08,33.6,24.2,0.0,Gombe,76.44,0.2,0.5
2007-06-09,36.0,23.8,6.7,Gombe,76.16,0.19,0.5
2007-06-10,33.8,23.5,0.0,Gombe,67.59,0.19,0.44
2007-06-11,34.0,23.9,0.4,Gombe,67.18,0.22,0.44
2007-06-12,34.5,23.7,0.9,Gombe,66.32,0.21,0.44
2007-06-13,34.3,22.5,4.7,Gombe,66.46,0.2,0.43
2007-06-14,34.7,23.9,0.0,Gombe,64.51,0.19,0.41
2007-06-15,34.5,23.8,0.0,Gombe,72.99,0.2,0.47
