time,temperature_2m_max,temperature_2m_min,precipitation_sum,city,relative_humidity_2m,cloud_cover_proxy,soil_moisture_0_to_10cm
2007-01-01,23.9,11.4,0.0,Potiskum,20.77,0.23,0.13
2007-01-02,24.7,12.0,0.0,Potiskum,23.94,0.23,0.13
2007-01-03,26.0,11.6,0.0,Potiskum,22.1,0.22,0.13
2007-01-04,26.8,12.6,0.0,Potiskum,20.04,0.24,0.13
2007-01-05,27.1,13.3,0.0,Potiskum,18.16,0.24,0.13
2007-01-06,27.2,14.1,0.0,Potiskum,19.78,0.21,0.13
2007-01-07,26.9,13.9,0.0,Potiskum,17.11,0.24,0.13
2007-01-08,27.1,13.2,0.0,Potiskum,16.01,0.29,0.13
2007-01-09,27.4,13.6,0.0,Potiskum,19.74,0.25,0.13
2007-01-10,27.6,14.3,0.0,Potiskum,21.66,0.26,0.12
2007-01-11,26.1,14.1,0.0,Potiskum,21.49,0.26,0.12
2007-01-12,24.5,12.9,0.0,Potiskum,22.33,0.24,0.12
2007-01-13,23.8,11.2,0.0,Potiskum,24.88,0.23,0.13
2007-01-14,24.6,11.2,0.0,Potiskum,23.73,0.24,0.13
2007-01-15,25.5,11.6,0.0,Potiskum,22.61,0.26,0.13
2007-01-16,26.0,12.5,0.0,Potiskum,24.63,0.24,0.12
2007-01-17,25.9,12.7,0.0,Potiskum,21.91,0.24,0.12
2007-01-18,26.2,12.6,0.0,Potiskum,22.82,0.25,0.12
2007-01-19,26.0,12.8,0.0,Potiskum,23.74,0.23,0.12
2007-01-20,26.4,12.4,0.0,Potiskum,21.03,0.22,0.12
2007-01-21,27.8,12.8,0.0,Potiskum,18.96,0.22,0.12
2007-01-22,29.8,13.9,0.0,Potiskum,18.41,0.21,0.12
2007-01-23,31.3,14.9,0.0,Potiskum,18.18,0.23,0.12
2007-01-24,32.5,16.3,0.0,Potiskum,18.29,0.25,0.12
2007-01-25,32.6,16.7,0.0,Potiskum,17.49,0.25,0.12
2007-01-26,32.4,16.6,0.0,Potiskum,16.36,0.26,0.12
2007-01-27,32.1,16.0,0.0,Potiskum,14.32,0.26,0.11
2007-01-28,32.7,16.1,0.0,Potiskum,13.8,0.25,0.11
2007-01-29,30.6,15.0,0.0,Potiskum,9.39,0.24,0.11
