time,temperature_2m_max,temperature_2m_min,precipitation_sum,city,relative_humidity_2m,cloud_cover_proxy,soil_moisture_0_to_10cm
2007-01-01,30.0,15.4,0.0,Yola,25.49,0.18,0.31
2007-01-02,29.9,16.5,0.0,Yola,25.71,0.17,0.3
2007-01-03,30.8,17.6,0.0,Yola,24.48,0.2,0.3
2007-01-04,32.0,18.6,0.0,Yola,25.5,0.18,0.29
2007-01-05,32.1,19.6,0.0,Yola,24.82,0.21,0.29
2007-01-06,32.3,18.2,0.0,Yola,23.1,0.18,0.28
2007-01-07,32.2,16.9,0.0,Yola,23.34,0.19,0.27
2007-01-08,31.9,19.0,0.0,Yola,21.63,0.2,0.27
2007-01-09,31.9,18.9,0.0,Yola,21.2,0.19,0.26
2007-01-10,32.1,19.1,0.0,Yola,20.03,0.22,0.25
2007-01-11,31.5,18.2,0.0,Yola,24.48,0.2,0.25
2007-01-12,30.1,16.1,0.0,Yola,23.78,0.22,0.25
2007-01-13,29.4,14.7,0.0,Yola,23.83,0.19,0.25
2007-01-14,29.9,16.1,0.0,Yola,24.57,0.2,0.24
2007-01-15,30.9,16.8,0.0,Yola,22.2,0.21,0.24
2007-01-16,31.8,17.3,0.0,Yola,23.11,0.21,0.24
2007-01-17,31.7,17.4,0.0,Yola,21.85,0.2,0.23
2007-01-18,31.8,18.2,0.0,Yola,22.08,0.21,0.22
2007-01-19,31.4,17.3,0.0,Yola,23.43,0.18,0.22
2007-01-20,31.6,17.7,0.0,Yola,23.68,0.18,0.22
2007-01-21,33.1,19.0,0.0,Yola,22.28,0.2,0.21
2007-01-22,34.8,19.9,0.0,Yola,22.01,0.22,0.21
2007-01-23,35.2,18.9,0.0,Yola,21.4,0.2,0.2
2007-01-24,36.2,20.2,0.0,Yola,20.79,0.2,0.2
2007-01-25,36.5,21.8,0.0,Yola,19.64,0.21,0.19
2007-01-26,36.2,21.7,0.0,Yola,18.44,0.21,0.19
2007-01-27,36.2,22.3,0.0,Yola,17.88,0.21,0.18
2007-01-28,36.5,20.2,0.0,Yola,16.65,0.2,0.18
2007-01-29,35.4,21.3,0.0,Yola,13.84,0.21,0.17
2007-01-30,35.1,20.8,0.0,Yola,12.5,0.2,0.17
2007-01-31,35.3,20.0,0.0,Yola,13.05,0.23,0.17
2007-02-01,36.6,19.5,0.0,Yola,14.37,0.19,0.17
2007-02-02,37.5,18.2,0.0,Yola,14.59,0.19,0.16
2007-02-03,37.4,17.4,0.0,Yola,14.12,0.2,0.16
2007-02-04,36.7,18.4,0.0,Yola,14.09,0.2,0.15
2007-02-05,37.3,20.6,0.0,Yola,15.11,0.19,0.15
2007-02-06,38.3,20.1,0.0,Yola,14.14,0.2,0.15
2007-02-07,39.1,19.2,0.0,Yola,13.44,0.19,0.15
2007-02-08,39.8,19.8,0.0,Yola,20.08,0.18,0.14
2007-02-09,39.6,21.3,0.0,Yola,45.76,0.19,0.14
2007-02-10,38.4,23.4,0.0,Yola,45.27,0.18,0.15
2007-02-11,36.5,22.4,0.0,Yola,27.07,0.19,0.15
2007-02-12,36.6,22.4,0.0,Yola,14.68,0.18,0.14
2007-02-13,35.4,22.4,0.0,Yola,13.01,0.17,0.14
2007-02-14,35.5,22.5,0.0,Yola,13.03,0.18,0.14
2007-02-15,35.6,22.6,0.0,Yola,12.63,0.19,0.14
2007-02-16,36.6,22.0,0.0,Yola,12.67,0.2,0.13
2007-02-17,36.6,20.5,0.0,Yola,13.03,0.19,0.13
2007-02-18,38.2,20.0,0.0,Yola,13.62,0.19,0.13
2007-02-19,39.0,23.4,0.0,Yola,13.77,0.21,0.13
2007-02-20,39.5,21.3,0.0,Yola,16.13,0.2,0.12
2007-02-21,39.6,24.4,0.0,Yola,31.92,0.19,0.12
2007-02-22,39.3,22.0,0.0,Yola,48.52,0.2,0.12
2007-02-23,39.4,23.9,0.0,Yola,54.96,0.21,0.13
2007-02-24,37.2,22.8,0.0,Yola,37.56,0.23,0.15
2007-02-25,36.8,22.9,0.0,Yola,21.63,0.17,0.14
2007-02-26,36.8,23.4,0.0,Yola,16.36,0.2,0.14
2007-02-27,37.1,23.3,0.0,Yola,16.28,0.2,0.14
2007-02-28,37.2,23.0,0.0,Yola,15.49,0.18,0.13
2007-03-01,37.2,23.3,0.0,Yola,13.66,0.21,0.13
2007-03-02,37.4,22.8,0.0,Yola,13.69,0.19,0.13
2007-03-03,37.0,22.8,0.0,Yola,12.53,0.19,0.12
2007-03-04,36.6,23.2,0.0,Yola,12.88,0.2,0.12
2007-03-05,37.3,22.4,0.0,Yola,11.88,0.21,0.12
2007-03-06,38.3,22.2,0.0,Yola,11.8,0.21,0.12
2007-03-07,38.4,21.5,0.0,Yola,13.34,0.21,0.11
2007-03-08,38.9,24.0,0.0,Yola,28.4,0.21,0.11
2007-03-09,39.1,22.1,0.0,Yola,30.79,0.21,0.11
2007-03-10,38.8,22.7,0.0,Yola,46.96,0.19,0.11
2007-03-11,39.0,24.5,0.0,Yola,21.94,0.2,0.11
2007-03-12,39.1,23.7,0.0,Yola,10.29,0.19,0.11
2007-03-13,39.2,24.4,0.0,Yola,12.79,0.2,0.11
2007-03-14,39.7,24.0,0.0,Yola,12.8,0.19,0.11
2007-03-15,39.6,25.2,0.0,Yola,13.27,0.2,0.11
2007-03-16,39.6,24.4,0.0,Yola,14.36,0.18,0.1
2007-03-17,39.2,25.5,0.0,Yola,13.77,0.19,0.1
2007-03-18,38.8,24.8,0.0,Yola,12.67,0.21,0.1
2007-03-19,39.1,22.9,0.0,Yola,11.79,0.17,0.1
2007-03-20,39.9,21.8,0.0,Yola,11.75,0.18,0.1
2007-03-21,41.5,21.7,0.0,Yola,10.13,0.19,0.1
2007-03-22,41.5,21.4,0.0,Yola,14.31,0.2,0.1
2007-03-23,42.4,25.8,0.0,Yola,25.96,0.2,0.1
2007-03-24,41.4,23.2,0.0,Yola,28.78,0.2,0.1
2007-03-25,40.6,26.0,0.0,Yola,43.44,0.2,0.1
2007-03-26,40.3,26.3,0.0,Yola,40.12,0.2,0.1
2007-03-27,39.9,25.6,0.0,Yola,46.09,0.2,0.1
2007-03-28,41.6,24.4,0.0,Yola,28.23,0.18,0.1
2007-03-29,43.4,25.0,0.0,Yola,19.75,0.23,0.1
2007-03-30,42.7,26.8,0.0,Yola,33.49,0.21,0.12
2007-03-31,42.9,27.2,0.0,Yola,28.59,0.22,0.13
2007-04-01,43.6,25.1,0.0,Yola,22.12,0.19,0.12
2007-04-02,41.4,27.9,0.0,Yola,40.4,0.21,0.12
2007-04-03,41.7,27.4,0.0,Yola,46.35,0.19,0.12
2007-04-04,41.4,27.7,0.0,Yola,50.06,0.2,0.13
2007-04-05,40.0,28.9,0.5,Yola,50.31,0.21,0.14
2007-04-06,40.6,28.7,0.2,Yola,50.01,0.2,0.17
2007-04-07,39.7,28.5,0.2,Yola,51.76,0.2,0.23
2007-04-08,39.8,27.8,0.0,Yola,50.17,0.2,0.25
2007-04-09,41.3,29.4,0.0,Yola,52.17,0.19,0.28
2007-04-10,41.2,28.8,0.0,Yola,52.55,0.19,0.29
2007-04-11,40.3,28.2,0.0,Yola,52.26,0.2,0.3
2007-04-12,41.0,28.0,0.0,Yola,39.68,0.2,0.28
2007-04-13,40.4,25.8,0.0,Yola,43.29,0.15,0.29
2007-04-14,40.2,24.0,0.0,Yola,36.88,0.18,0.27
2007-04-15,40.4,23.9,0.0,Yola,33.85,0.17,0.24
2007-04-16,39.9,25.5,0.0,Yola,43.34,0.18,0.22
2007-04-17,38.8,29.1,1.6,Yola,45.19,0.2,0.22
2007-04-18,39.5,28.2,0.1,Yola,52.58,0.2,0.21
2007-04-19,41.1,29.4,0.0,Yola,43.96,0.18,0.21
2007-04-20,40.8,27.7,0.0,Yola,43.49,0.18,0.2
2007-04-21,40.8,28.4,0.0,Yola,44.06,0.19,0.22
2007-04-22,41.2,29.0,0.0,Yola,49.63,0.19,0.28
2007-04-23,38.7,28.2,0.0,Yola,56.12,0.2,0.31
2007-04-24,39.7,27.8,0.0,Yola,57.06,0.21,0.32
2007-04-25,39.4,29.1,0.0,Yola,60.06,0.18,0.33
2007-04-26,38.7,29.0,0.5,Yola,61.39,0.2,0.38
