time,temperature_2m_max,temperature_2m_min,precipitation_sum,city,relative_humidity_2m,cloud_cover_proxy,soil_moisture_0_to_10cm
2007-01-01,25.3,10.1,0.0,Bauchi,19.93,0.13,0.18
2007-01-02,25.8,9.4,0.0,Bauchi,22.32,0.14,0.18
2007-01-03,26.9,9.2,0.0,Bauchi,22.56,0.15,0.18
2007-01-04,27.9,10.5,0.0,Bauchi,21.35,0.19,0.18
2007-01-05,28.0,11.7,0.0,Bauchi,18.99,0.19,0.18
2007-01-06,28.5,12.5,0.0,Bauchi,20.02,0.18,0.17
2007-01-07,28.2,12.3,0.0,Bauchi,18.27,0.18,0.17
2007-01-08,27.9,12.2,0.0,Bauchi,16.72,0.18,0.17
2007-01-09,27.9,11.7,0.0,Bauchi,19.47,0.22,0.17
2007-01-10,28.2,11.5,0.0,Bauchi,20.84,0.21,0.17
2007-01-11,27.0,11.6,0.0,Bauchi,22.11,0.19,0.17
2007-01-12,25.8,10.9,0.0,Bauchi,20.9,0.18,0.17
2007-01-13,25.1,8.7,0.0,Bauchi,22.88,0.15,0.17
2007-01-14,25.5,9.1,0.0,Bauchi,23.13,0.15,0.17
2007-01-15,26.3,8.6,0.0,Bauchi,20.55,0.19,0.17
2007-01-16,27.5,10.2,0.0,Bauchi,23.24,0.21,0.17
2007-01-17,27.2,11.8,0.0,Bauchi,21.98,0.18,0.17
2007-01-18,27.6,11.4,0.0,Bauchi,21.38,0.18,0.17
2007-01-19,27.3,11.6,0.0,Bauchi,23.37,0.19,0.17
2007-01-20,27.5,10.9,0.0,Bauchi,22.0,0.19,0.17
2007-01-21,28.9,10.2,0.0,Bauchi,19.44,0.18,0.17
2007-01-22,30.8,11.1,0.0,Bauchi,19.28,0.19,0.17
2007-01-23,32.0,12.8,0.0,Bauchi,19.65,0.19,0.17
2007-01-24,32.6,13.9,0.0,Bauchi,19.63,0.2,0.16
2007-01-25,33.0,14.3,0.0,Bauchi,19.15,0.19,0.16
2007-01-26,32.7,13.6,0.0,Bauchi,17.97,0.22,0.16
2007-01-27,32.4,13.3,0.0,Bauchi,14.46,0.2,0.15
2007-01-28,32.9,13.3,0.0,Bauchi,14.21,0.21,0.15
2007-01-29,31.6,12.1,0.0,Bauchi,9.98,0.19,0.15
2007-01-30,30.9,10.8,0.0,Bauchi,9.77,0.18,0.15
2007-01-31,31.6,10.9,0.0,Bauchi,13.29,0.2,0.15
2007-02-01,32.7,12.8,0.0,Bauchi,15.49,0.22,0.15
2007-02-02,33.6,13.5,0.0,Bauchi,15.69,0.2,0.14
2007-02-03,33.5,13.8,0.0,Bauchi,14.49,0.22,0.14
2007-02-04,32.9,13.0,0.0,Bauchi,15.81,0.2,0.14
2007-02-05,33.6,14.6,0.0,Bauchi,17.49,0.2,0.14
2007-02-06,34.4,15.2,0.0,Bauchi,14.62,0.2,0.14
2007-02-07,35.1,15.3,0.0,Bauchi,13.42,0.18,0.14
2007-02-08,36.1,17.1,0.0,Bauchi,16.85,0.24,0.14
2007-02-09,36.1,18.3,0.0,Bauchi,20.74,0.22,0.16
2007-02-10,35.5,17.8,0.0,Bauchi,16.23,0.19,0.18
2007-02-11,32.3,17.0,0.0,Bauchi,13.12,0.16,0.17
2007-02-12,31.1,15.7,0.0,Bauchi,10.93,0.18,0.17
2007-02-13,30.6,13.9,0.0,Bauchi,11.69,0.17,0.16
2007-02-14,30.6,14.7,0.0,Bauchi,12.85,0.18,0.16
2007-02-15,31.2,14.1,0.0,Bauchi,12.25,0.17,0.16
2007-02-16,32.2,13.5,0.0,Bauchi,12.22,0.18,0.15
2007-02-17,32.8,14.0,0.0,Bauchi,11.49,0.19,0.15
2007-02-18,34.3,14.6,0.0,Bauchi,11.21,0.19,0.15
2007-02-19,35.4,15.1,0.0,Bauchi,11.83,0.18,0.14
2007-02-20,35.8,16.6,0.0,Bauchi,13.8,0.18,0.14
2007-02-21,36.2,16.4,0.0,Bauchi,14.95,0.22,0.14
2007-02-22,36.7,15.9,0.0,Bauchi,27.35,0.19,0.14
2007-02-23,35.3,17.9,0.0,Bauchi,15.42,0.18,0.14
2007-02-24,33.0,16.0,0.0,Bauchi,13.01,0.2,0.14
2007-02-25,32.7,16.1,0.0,Bauchi,14.95,0.2,0.14
2007-02-26,32.9,15.3,0.0,Bauchi,14.75,0.21,0.14
2007-02-27,33.0,16.8,0.0,Bauchi,14.62,0.18,0.14
2007-02-28,32.4,15.2,0.0,Bauchi,12.5,0.19,0.14
2007-03-01,32.6,15.5,0.0,Bauchi,11.72,0.2,0.13
2007-03-02,32.8,16.3,0.0,Bauchi,12.61,0.22,0.13
2007-03-03,32.8,15.9,0.0,Bauchi,12.51,0.21,0.13
2007-03-04,32.7,15.3,0.0,Bauchi,12.09,0.2,0.13
2007-03-05,33.5,14.9,0.0,Bauchi,11.02,0.23,0.13
2007-03-06,34.4,15.9,0.0,Bauchi,11.54,0.23,0.13
2007-03-07,34.6,16.7,0.0,Bauchi,10.64,0.21,0.13
2007-03-08,35.2,20.5,0.0,Bauchi,10.26,0.19,0.13
2007-03-09,35.9,15.3,0.0,Bauchi,13.02,0.19,0.13
2007-03-10,36.1,17.6,0.0,Bauchi,21.96,0.2,0.13
2007-03-11,34.4,16.1,0.0,Bauchi,10.4,0.21,0.13
2007-03-12,35.6,16.0,0.0,Bauchi,10.57,0.2,0.12
2007-03-13,35.8,15.9,0.0,Bauchi,11.99,0.2,0.12
2007-03-14,36.2,16.4,0.0,Bauchi,11.84,0.23,0.12
2007-03-15,35.6,17.3,0.0,Bauchi,13.49,0.19,0.12
2007-03-16,35.6,18.7,0.0,Bauchi,14.44,0.22,0.12
2007-03-17,34.1,16.9,0.0,Bauchi,11.5,0.2,0.12
2007-03-18,34.7,16.4,0.0,Bauchi,8.67,0.19,0.12
2007-03-19,35.0,14.9,0.0,Bauchi,7.93,0.19,0.12
2007-03-20,36.2,14.7,0.0,Bauchi,7.57,0.2,0.12
2007-03-21,37.6,19.8,0.0,Bauchi,9.3,0.21,0.12
2007-03-22,38.4,15.2,0.0,Bauchi,11.2,0.23,0.11
2007-03-23,39.5,15.7,0.0,Bauchi,10.06,0.23,0.11
2007-03-24,39.1,18.2,0.0,Bauchi,11.42,0.25,0.11
2007-03-25,38.2,17.8,0.0,Bauchi,14.99,0.26,0.11
2007-03-26,38.4,18.5,0.0,Bauchi,16.99,0.25,0.11
2007-03-27,38.6,17.5,0.0,Bauchi,38.33,0.22,0.12
2007-03-28,38.6,18.2,0.0,Bauchi,18.07,0.22,0.13
2007-03-29,39.4,23.6,0.0,Bauchi,22.36,0.22,0.13
2007-03-30,38.3,21.6,0.0,Bauchi,33.75,0.23,0.13
2007-03-31,39.4,22.7,0.0,Bauchi,33.79,0.23,0.13
2007-04-01,39.6,21.0,0.0,Bauchi,27.33,0.21,0.13
2007-04-02,39.3,22.3,0.0,Bauchi,36.67,0.21,0.13
2007-04-03,40.2,23.7,0.0,Bauchi,40.84,0.2,0.13
2007-04-04,39.2,23.0,0.0,Bauchi,39.87,0.22,0.13
2007-04-05,38.1,25.1,1.7,Bauchi,41.82,0.21,0.13
